PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
Aaron Nesmith,Pacers,Guard-Forward,6-5,215,USA,1999-10-16T00:00:00,2,14,98,1243.0,414,216,45,35,14,3631200.0
Raul Neto,Cavaliers,Guard,6-2,180,Brazil,1992-05-19T00:00:00,7,47,387,6259.0,2313,612,834,262,30,2089448.0
Georges Niang,76ers,Forward,6-7,230,USA,1993-06-17T00:00:00,6,50,305,4455.0,1857,619,248,88,32,3300000.0
Daishen Nix,Rockets,Guard,6-4,226,USA,2002-02-13T00:00:00,1,Undrafted,24,261.0,77,33,40,15,0,292466.0
Zeke Nnaji,Nuggets,Forward-Center,6-9,240,USA,2001-01-09T00:00:00,2,22,83,1095.0,406,212,27,24,17,2498760.0
Nerlens Noel,Pistons,Center-Forward,6-11,220,USA,1994-04-10T00:00:00,8,6,450,10086.0,3303,2788,491,572,673,8800000.0
Jaylen Nowell,Timberwolves,Guard,6-4,201,USA,1999-07-09T00:00:00,3,43,119,1885.0,963,231,211,52,23,1782621.0
Frank Ntilikina,Mavericks,Guard,6-4,200,France,1998-07-28T00:00:00,5,8,269,4803.0,1395,495,631,194,59,1789256.0
Kendrick Nunn,Lakers,Guard,6-2,190,USA,1995-08-03T00:00:00,2,Undrafted,123,3613.0,1840,359,368,108,29,5000000.0
Jusuf Nurkic,Trail Blazers,Center,6-11,290,Bosnia and Herzegovina,1994-08-23T00:00:00,8,16,411,9815.0,5015,3513,903,372,489,12000000.0
David Nwaba,Rockets,Guard-Forward,6-5,219,USA,1993-01-14T00:00:00,6,Undrafted,237,4583.0,1622,866,246,177,106,4650000.0
Jordan Nwora,Bucks,Forward,6-8,225,USA,1998-09-09T00:00:00,2,45,92,1459.0,658,281,66,42,25,1517981.0
Royce O'Neale,Nets,Forward,6-5,226,USA,1993-06-05T00:00:00,5,Undrafted,370,9516.0,2285,1763,771,292,136,8678571.0
Chuma Okeke,Magic,Forward,6-6,229,USA,1998-08-18T00:00:00,2,16,115,2881.0,954,528,219,145,64,3277080.0
Josh Okogie,Suns,Guard,6-4,213,Nigeria,1998-09-01T00:00:00,4,20,244,5017.0,1552,712,278,236,99,4087904.0
Onyeka Okongwu,Hawks,Forward-Center,6-8,240,USA,2000-12-11T00:00:00,2,6,98,1593.0,620,446,71,54,93,6104280.0
Isaac Okoro,Cavaliers,Forward-Guard,6-5,225,USA,2001-01-26T00:00:00,2,5,134,4154.0,1234,407,249,118,46,6720720.0
Victor Oladipo,Heat,Guard,6-4,213,USA,1992-05-04T00:00:00,9,2,462,15141.0,8054,2117,1824,748,218,2389641.0
Kelly Olynyk,Pistons,Forward-Center,6-11,240,Canada,1991-04-19T00:00:00,9,13,610,13409.0,6146,3087,1248,465,284,12195122.0
Cedi Osman,Cavaliers,Forward,6-7,230,Turkey,1995-04-08T00:00:00,5,31,327,7999.0,3269,1055,699,241,49,8050000.0
Kelly Oubre Jr.,Hornets,Forward-Guard,6-6,203,USA,1995-12-09T00:00:00,7,15,479,12062.0,5769,2074,484,449,231,12000000.0
Eric Paschall,Timberwolves,Forward,6-6,255,USA,1996-11-04T00:00:00,3,41,158,3085.0,1552,509,214,53,25,1782621.0
Chris Paul,Suns,Guard,6-0,175,USA,1985-05-06T00:00:00,17,4,1155,39896.0,20936,5206,10977,2453,172,30800000.0
Cameron Payne,Suns,Guard,6-1,183,USA,1994-08-08T00:00:00,7,14,279,4994.0,2132,624,905,188,63,6500000.0
Elfrid Payton,Suns,Guard,6-3,195,USA,1994-02-22T00:00:00,8,10,500,13384.0,5036,2007,2867,588,151,2239544.0
Gary Payton II,Trail Blazers,Guard,6-3,195,USA,1992-12-01T00:00:00,6,Undrafted,142,2056.0,740,396,151,148,38,1939350.0
Jamorko Pickett,Cavaliers,Forward,6-9,206,USA,1997-12-24T00:00:00,1,Undrafted,13,176.0,50,32,7,0,7,
Theo Pinson,Mavericks,Guard-Forward,6-5,212,USA,1995-11-05T00:00:00,4,Undrafted,87,759.0,251,116,95,28,6,
Mason Plumlee,Hornets,Forward-Center,6-11,254,USA,1990-03-05T00:00:00,9,22,661,14768.0,5484,4378,1611,503,592,8137500.0
Jakob Poeltl,Spurs,Center,7-1,245,Austria,1995-10-15T00:00:00,6,9,416,8409.0,3035,2524,601,214,524,8750000.0
Aleksej Pokusevski,Thunder,Forward,7-0,190,Serbia,2001-12-26T00:00:00,2,17,106,2323.0,831,530,228,59,80,3113160.0
Yves Pons,Grizzlies,Forward,6-5,206,France,1999-05-07T00:00:00,1,Undrafted,12,71.0,13,12,1,1,4,
Jordan Poole,Warriors,Guard,6-4,194,USA,1999-06-19T00:00:00,3,28,184,4545.0,2520,470,537,121,42,2161440.0
Kevin Porter Jr.,Rockets,Guard-Forward,6-4,203,USA,2000-05-04T00:00:00,3,30,137,3904.0,1878,528,649,134,44,2130240.0
Michael Porter Jr.,Nuggets,Forward,6-10,218,USA,1998-06-29T00:00:00,3,14,125,3081.0,1763,763,133,77,81,5258735.0
Otto Porter Jr.,Raptors,Forward,6-8,198,USA,1993-06-03T00:00:00,9,3,504,13080.0,5336,2551,767,570,216,2389641.0
Bobby Portis,Bucks,Forward,6-10,250,USA,1995-02-10T00:00:00,7,22,453,9837.0,5021,2995,537,263,171,4347600.0
Kristaps Porzingis,Wizards,Forward-Center,7-3,240,Latvia,1995-08-02T00:00:00,6,4,337,10385.0,6371,2649,537,234,635,31650600.0
Dwight Powell,Mavericks,Forward-Center,6-10,240,Canada,1991-07-20T00:00:00,8,45,511,9720.0,3926,2349,524,324,242,11000000.0
Myles Powell,76ers,Guard,6-2,195,USA,1997-07-07T00:00:00,2,Undrafted,11,52.0,13,6,3,1,0,
Norman Powell,Clippers,Guard,6-3,215,USA,1993-05-25T00:00:00,7,46,421,9424.0,4776,1088,625,341,113,15517242.0
Joshua Primo,Spurs,Guard,6-4,189,Canada,2002-12-24T00:00:00,1,12,50,965.0,288,113,81,20,23,3946800.0
Taurean Prince,Timberwolves,Forward,6-6,218,USA,1994-03-22T00:00:00,6,12,370,8937.0,3899,1442,647,313,159,15057692.0
Payton Pritchard,Celtics,Guard,6-1,195,USA,1998-01-28T00:00:00,2,26,137,2269.0,952,292,259,62,15,2137440.0
Trevelin Queen,76ers,Guard,6-6,190,USA,1997-02-25T00:00:00,1,Undrafted,10,74.0,43,16,4,5,1,
Neemias Queta,Kings,Center,7-0,248,Portugal,1999-07-13T00:00:00,1,39,15,120.0,45,31,6,1,8,
Immanuel Quickley,Knicks,Guard,6-3,190,USA,1999-06-17T00:00:00,2,25,142,3046.0,1613,384,402,84,15,2210640.0
Julius Randle,Knicks,Forward-Center,6-8,250,USA,1994-11-29T00:00:00,8,7,518,16145.0,9191,4815,1842,365,235,19800000.0
Austin Reaves,Lakers,Guard,6-5,197,USA,1998-05-29T00:00:00,1,Undrafted,61,1418.0,444,193,110,29,20,925258.0
Cam Reddish,Knicks,Forward-Guard,6-8,217,USA,1999-09-01T00:00:00,3,10,133,3313.0,1399,425,170,142,52,4670160.0
Davon Reed,Nuggets,Guard,6-5,206,USA,1995-06-11T00:00:00,3,32,79,957.0,284,153,69,35,11,
Paul Reed,76ers,Forward,6-9,210,USA,1999-06-14T00:00:00,2,58,64,480.0,204,153,28,43,27,1517981.0
Naz Reid,Timberwolves,Center-Forward,6-9,264,USA,1999-08-26T00:00:00,3,Undrafted,177,3057.0,1690,747,178,93,169,1782621.0
Nick Richards,Hornets,Center,7-0,245,Jamaica,1997-11-29T00:00:00,2,42,68,430.0,165,97,15,9,21,1517981.0
Josh Richardson,Spurs,Guard,6-5,200,USA,1993-09-15T00:00:00,7,40,438,13033.0,5270,1377,1172,465,262,11600000.0
Austin Rivers,Timberwolves,Guard,6-4,200,USA,1992-08-01T00:00:00,10,10,655,15840.0,5741,1359,1438,466,108,2401537.0
Duncan Robinson,Heat,Forward,6-7,215,USA,1994-04-22T00:00:00,4,Undrafted,239,6631.0,2838,704,363,125,53,15560000.0
Mitchell Robinson,Knicks,Center-Forward,7-0,240,USA,1998-04-01T00:00:00,4,36,230,5473.0,1941,1720,128,197,458,1802057.0
Jeremiah Robinson-Earl,Thunder,Forward,6-8,242,USA,2000-11-03T00:00:00,1,32,49,1087.0,366,274,49,29,15,2000000.0
Isaiah Roby,Spurs,Forward,6-8,230,USA,1998-02-03T00:00:00,3,45,109,2385.0,987,560,178,88,71,1782621.0
Rajon Rondo,Cavaliers,Guard,6-1,180,USA,1986-02-22T00:00:00,17,21,957,28570.0,9337,4349,7584,1518,125,2641691.0
Derrick Rose,Knicks,Guard,6-2,200,USA,1988-10-04T00:00:00,13,1,672,21315.0,12230,2239,3646,521,235,13445120.0
Terrence Ross,Magic,Guard-Forward,6-6,206,USA,1991-02-05T00:00:00,10,8,670,16627.0,7525,1907,841,552,221,12500000.0
Terry Rozier,Hornets,Guard,6-1,190,USA,1994-03-17T00:00:00,7,16,477,12440.0,6039,1866,1509,440,113,17905263.0
Ricky Rubio,Cavaliers,Guard,6-2,190,Spain,1990-10-21T00:00:00,11,5,665,20128.0,7399,2760,5045,1200,88,17809524.0
D'Angelo Russell,Timberwolves,Guard,6-4,193,USA,1996-02-23T00:00:00,7,2,424,12476.0,7504,1503,2370,471,119,30013500.0
Matt Ryan,Celtics,Forward,6-7,215,USA,1997-04-17T00:00:00,1,Undrafted,1,5.0,3,0,0,1,0,
Domantas Sabonis,Kings,Forward-Center,6-11,240,Lithuania,1996-05-03T00:00:00,6,11,415,11806.0,5961,3815,1493,309,184,18562500.0
Dario Saric,Suns,Forward-Center,6-10,225,Croatia,1994-04-08T00:00:00,5,12,356,8964.0,4180,2086,699,220,79,9000000.0
Tomas Satoransky,Wizards,Guard,6-7,210,Czech Republic,1991-10-30T00:00:00,7,32,388,8616.0,2676,1117,1586,309,60,10468119.0
Jordan Schakel,Wizards,Guard,6-6,200,USA,1998-06-13T00:00:00,1,Undrafted,4,30.0,5,8,0,1,0,
Admiral Schofield,Magic,Forward,6-5,241,United Kingdom,1997-03-30T00:00:00,2,42,71,837.0,245,136,40,12,9,
Dennis Schroder,Rockets,Guard,6-1,172,Germany,1993-09-15T00:00:00,9,17,621,16448.0,8806,1829,2907,515,82,5890000.0
Jay Scrubb,Clippers,Guard,6-5,220,USA,2000-09-01T00:00:00,3,55,22,206.0,84,30,9,8,3,
Alperen Sengun,Rockets,Center,6-10,243,Turkey,2002-07-25T00:00:00,1,16,72,1489.0,692,393,185,59,68,3214680.0
Collin Sexton,Jazz,Guard,6-1,190,USA,1999-01-04T00:00:00,4,8,218,7179.0,4356,663,720,181,23,6349671.0
Landry Shamet,Suns,Guard,6-4,190,USA,1997-03-13T00:00:00,4,26,262,6094.0,2354,472,423,116,39,3768342.0
Day'Ron Sharpe,Nets,Center,6-9,265,USA,2001-11-06T00:00:00,1,29,32,391.0,198,160,17,10,15,2009040.0
Pascal Siakam,Raptors,Forward,6-8,230,Cameroon,1994-04-02T00:00:00,6,27,400,11780.0,6290,2522,1241,371,271,31320000.0
Ben Simmons,Nets,Guard-Forward,6-11,240,Australia,1996-07-20T00:00:00,4,1,275,9326.0,4382,2217,2127,464,199,31590000.0
Marko Simonovic,Bulls,Center,6-11,220,Montenegro,1999-10-15T00:00:00,1,44,9,35.0,17,10,0,1,1,925258.0
Anfernee Simons,Trail Blazers,Guard,6-3,181,USA,1999-06-08T00:00:00,4,24,211,4375.0,2144,456,420,75,24,3938818.0
Jericho Sims,Knicks,Center,6-9,250,USA,1998-10-20T00:00:00,1,58,41,555.0,90,169,21,11,22,
Javonte Smart,Heat,Guard,6-4,205,USA,1999-06-03T00:00:00,2,Undrafted,17,200.0,51,24,16,6,3,
Marcus Smart,Celtics,Guard,6-4,220,USA,1994-03-06T00:00:00,8,6,520,15484.0,5438,1866,2318,821,191,14339285.0
Ish Smith,Nuggets,Guard,6-0,175,USA,1988-07-05T00:00:00,12,Undrafted,719,14354.0,5465,1790,2799,518,186,4500000.0
Jalen Smith,Pacers,Forward-Center,6-10,215,USA,2000-03-16T00:00:00,2,10,78,1080.0,523,344,28,16,45,4458000.0
Xavier Sneed,Jazz,Forward,6-5,215,USA,1997-12-21T00:00:00,1,Undrafted,9,39.0,5,6,1,0,0,1563518.0
Tony Snell,Pelicans,Guard,6-6,213,USA,1991-11-10T00:00:00,9,20,601,13092.0,3672,1371,669,266,138,2389641.0
Jaden Springer,76ers,Guard,6-4,202,USA,2002-09-25T00:00:00,1,28,2,6.0,2,2,0,0,2,2023800.0
Nik Stauskas,Celtics,Guard,6-6,207,Canada,1993-10-07T00:00:00,7,8,343,6700.0,2290,691,515,139,80,
Lance Stephenson,Pacers,Forward,6-5,210,USA,1990-09-05T00:00:00,11,40,554,12681.0,4738,2251,1621,357,76,924730.0
Lamar Stevens,Cavaliers,Forward,6-6,230,USA,1997-07-09T00:00:00,2,Undrafted,103,1514.0,548,260,69,48,31,1517981.0
Isaiah Stewart,Pistons,Forward-Center,6-8,250,USA,2001-05-22T00:00:00,2,16,139,3270.0,1126,1070,141,61,164,3277080.0
Max Strus,Heat,Guard-Forward,6-5,215,USA,1996-03-28T00:00:00,3,Undrafted,109,2100.0,962,244,116,39,18,1669178.0
Jalen Suggs,Magic,Guard,6-5,205,USA,2001-06-03T00:00:00,1,5,48,1307.0,564,171,209,59,19,6593040.0
Jae'Sean Tate,Rockets,Forward,6-4,230,USA,1995-10-28T00:00:00,2,Undrafted,148,4099.0,1713,794,400,157,77,1517981.0
Jayson Tatum,Celtics,Forward-Guard,6-8,210,USA,1998-03-03T00:00:00,5,3,365,12183.0,7640,2420,1106,410,252,28103550.0
Terry Taylor,Pacers,Forward,6-5,230,USA,1999-09-23T00:00:00,1,Undrafted,33,714.0,318,172,41,14,8,
Garrett Temple,Pelicans,Guard-Forward,6-5,195,USA,1986-05-08T00:00:00,12,Undrafted,691,14785.0,4391,1620,1188,572,234,4910000.0
Tyrell Terry,Grizzlies,Guard,6-2,160,USA,2000-09-28T00:00:00,3,31,13,59.0,13,6,6,5,0,1517981.0
Daniel Theis,Pacers,Forward-Center,6-9,245,Germany,1992-04-04T00:00:00,5,Undrafted,306,5988.0,2317,1509,384,149,262,8372093.0
Brodric Thomas,Celtics,Guard,6-5,185,USA,1997-01-28T00:00:00,2,Undrafted,44,459.0,146,63,41,16,11,
Cam Thomas,Nets,Guard,6-3,210,Japan,2001-10-13T00:00:00,1,27,67,1176.0,570,161,78,33,8,2036280.0
Isaiah Thomas,Hornets,Guard,5-9,185,USA,1989-02-07T00:00:00,11,60,550,15563.0,9715,1320,2638,472,61,
Matt Thomas,Bulls,Guard,6-3,190,USA,1994-08-04T00:00:00,3,Undrafted,126,1226.0,502,155,61,22,4,1669178.0
Klay Thompson,Warriors,Guard,6-6,220,USA,1990-02-08T00:00:00,9,11,647,21279.0,12647,2255,1504,577,349,37980720.0
Tristan Thompson,Bulls,Center-Forward,6-9,254,Canada,1991-03-13T00:00:00,11,4,730,19556.0,6592,6120,725,364,501,9720900.0
JT Thor,Hornets,Forward,6-9,203,USA,2002-08-26T00:00:00,1,37,33,262.0,67,43,19,8,11,1250000.0
Matisse Thybulle,76ers,Guard-Forward,6-5,201,USA,1997-03-04T00:00:00,3,20,196,4271.0,939,382,217,313,189,2840160.0
Killian Tillie,Grizzlies,Forward-Center,6-9,220,France,1998-03-05T00:00:00,2,Undrafted,54,642.0,175,84,30,28,23,2000000.0
Xavier Tillman Sr.,Grizzlies,Forward,6-8,245,USA,1999-01-12T00:00:00,2,35,112,1785.0,642,417,137,93,48,1517981.0
Isaiah Todd,Wizards,Forward,6-9,219,USA,2001-10-17T00:00:00,1,31,12,74.0,20,12,4,4,2,1500000.0
Obi Toppin,Knicks,Forward,6-9,220,USA,1998-03-04T00:00:00,2,8,134,1913.0,901,406,106,42,48,5105160.0
Juan Toscano-Anderson,Lakers,Forward,6-6,209,USA,1993-04-10T00:00:00,3,Undrafted,139,2374.0,668,463,303,102,48,1701593.0
Karl-Anthony Towns,Timberwolves,Center-Forward,6-11,248,USA,1995-11-15T00:00:00,7,1,482,16471.0,11170,5465,1486,389,663,31610000.0
Gary Trent Jr.,Raptors,Guard-Forward,6-5,209,USA,1999-01-18T00:00:00,4,37,204,5692.0,2752,454,287,227,47,16000000.0
P.J. Tucker,76ers,Forward,6-5,245,USA,1985-05-05T00:00:00,11,35,777,22530.0,5536,4390,1149,887,240,7000000.0
Rayjon Tucker,Bucks,Guard,6-3,209,USA,1997-09-24T00:00:00,4,Undrafted,39,300.0,117,39,21,7,1,
Myles Turner,Pacers,Center-Forward,6-11,250,USA,1996-03-24T00:00:00,7,11,431,12379.0,5485,2879,513,311,984,18000000.0
Jonas Valanciunas,Pelicans,Center,6-11,265,Lithuania,1992-05-06T00:00:00,10,5,695,18141.0,9319,6571,824,290,702,14000000.0
Fred VanVleet,Raptors,Guard,6-1,197,USA,1994-02-25T00:00:00,6,Undrafted,348,9863.0,4755,1105,1704,439,131,19675926.0
Jarred Vanderbilt,Jazz,Forward,6-9,214,USA,1999-04-03T00:00:00,4,41,166,3136.0,892,1024,175,172,94,4259259.0
Devin Vassell,Spurs,Guard-Forward,6-5,200,USA,2000-08-23T00:00:00,2,11,133,2993.0,1213,480,192,119,59,4235160.0
Gabe Vincent,Heat,Guard,6-3,200,USA,1996-06-14T00:00:00,3,Undrafted,127,2327.0,855,187,283,88,14,1669178.0
Nikola Vucevic,Bulls,Center,6-10,260,Montenegro,1990-10-24T00:00:00,11,16,741,22869.0,12553,7731,2037,650,675,24000000.0
Dean Wade,Cavaliers,Forward-Center,6-9,228,USA,1996-11-20T00:00:00,3,Undrafted,126,2264.0,665,384,128,66,32,1782621.0
Franz Wagner,Magic,Forward,6-10,220,Germany,2001-08-27T00:00:00,1,8,79,2429.0,1197,356,231,68,34,5007840.0
Moritz Wagner,Magic,Forward-Center,6-11,245,Germany,1997-04-26T00:00:00,4,25,196,2963.0,1474,682,217,85,63,1729217.0
Ish Wainright,Suns,Forward,6-5,250,USA,1994-09-12T00:00:00,1,Undrafted,45,359.0,108,54,15,20,6,
Kemba Walker,Pistons,Guard,6-0,184,USA,1990-05-08T00:00:00,11,9,741,24666.0,14414,2815,3919,921,280,8729020.0
Lonnie Walker IV,Lakers,Guard-Forward,6-4,204,USA,1998-12-14T00:00:00,4,18,208,4240.0,1952,492,330,112,51,4447896.0
John Wall,Clippers,Guard,6-3,210,USA,1990-09-06T00:00:00,10,1,613,21832.0,11702,2612,5557,1018,427,44310840.0
T.J. Warren,Nets,Forward,6-8,220,USA,1993-09-05T00:00:00,7,14,332,9554.0,5142,1372,397,327,168,12690000.0
P.J. Washington,Hornets,Forward,6-7,230,USA,1998-08-23T00:00:00,3,12,187,5481.0,2202,1071,431,177,184,4215120.0
Duane Washington Jr.,Suns,Guard,6-3,197,Germany,2000-03-24T00:00:00,1,Undrafted,48,968.0,473,83,85,26,3,
Yuta Watanabe,Nets,Guard-Forward,6-9,215,Japan,1994-10-13T00:00:00,4,Undrafted,121,1447.0,456,302,74,46,37,1762769.0
Lindy Waters III,Thunder,Forward,6-6,215,USA,1997-07-28T00:00:00,1,Undrafted,25,465.0,199,73,24,19,8,
Trendon Watford,Trail Blazers,Forward,6-8,237,USA,2000-11-09T00:00:00,1,Undrafted,48,869.0,364,199,81,25,28,260561.0
Quinndary Weatherspoon,Warriors,Guard,6-3,205,USA,1996-09-10T00:00:00,3,49,42,272.0,88,32,24,12,4,
Russell Westbrook,Lakers,Guard,6-3,200,USA,1988-11-12T00:00:00,14,4,1021,35424.0,23298,7541,8611,1699,313,44211146.0
Coby White,Bulls,Guard,6-4,195,USA,2000-02-16T00:00:00,3,7,195,5505.0,2672,696,679,116,32,5837760.0
Derrick White,Celtics,Guard,6-4,190,USA,1994-07-02T00:00:00,5,29,263,6806.0,3027,864,1006,205,203,15178571.0
Hassan Whiteside,Jazz,Center,7-0,265,USA,1989-06-13T00:00:00,10,33,511,12646.0,6450,5523,326,271,1143,2401537.0
Joe Wieskamp,Spurs,Guard-Forward,6-6,205,USA,1999-08-23T00:00:00,1,41,29,205.0,61,14,9,4,3,
Aaron Wiggins,Thunder,Guard,6-4,190,USA,1999-01-02T00:00:00,1,55,50,1209.0,416,178,68,30,10,1000000.0
Andrew Wiggins,Warriors,Forward,6-7,197,Canada,1995-02-23T00:00:00,8,1,598,20936.0,11519,2649,1393,595,399,31579390.0
Lindell Wigginton,Bucks,Guard,6-1,189,Canada,1998-03-28T00:00:00,1,,19,199.0,80,25,23,5,1,
Brandon Williams,Trail Blazers,Guard,6-2,190,USA,1999-11-22T00:00:00,1,Undrafted,24,640.0,309,74,94,24,10,
Grant Williams,Celtics,Forward,6-6,236,USA,1998-11-30T00:00:00,3,22,209,4056.0,1133,630,210,100,117,2617800.0
Kenrich Williams,Thunder,Guard-Forward,6-6,210,USA,1994-12-02T00:00:00,4,Undrafted,200,4410.0,1304,898,400,171,67,2000000.0
Lou Williams,Hawks,Guard,6-2,175,USA,1986-10-27T00:00:00,17,45,1123,27102.0,15593,2484,3789,952,192,5000000.0
Patrick Williams,Bulls,Forward,6-7,215,USA,2001-08-26T00:00:00,2,4,88,2406.0,808,396,114,73,55,7422000.0
Ziaire Williams,Grizzlies,Forward,6-9,185,USA,2001-09-12T00:00:00,1,10,62,1346.0,501,129,65,35,12,4373160.0
Robert Williams III,Celtics,Center-Forward,6-9,237,USA,1997-10-17T00:00:00,4,27,174,3460.0,1255,1155,249,130,300,3661976.0
Zion Williamson,Pelicans,Forward,6-6,284,USA,2000-07-06T00:00:00,2,1,85,2694.0,2187,591,276,73,48,10733400.0
Dylan Windler,Cavaliers,Guard-Forward,6-6,196,USA,1996-09-22T00:00:00,2,26,81,972.0,271,196,67,33,15,2239200.0
Justise Winslow,Trail Blazers,Forward-Guard,6-6,222,USA,1996-03-26T00:00:00,7,10,315,8131.0,2633,1615,792,277,126,3902439.0
Cassius Winston,Wizards,Guard,6-1,185,USA,1998-02-28T00:00:00,3,53,29,137.0,55,10,19,2,1,
James Wiseman,Warriors,Center,7-0,240,USA,2001-03-31T00:00:00,1,2,39,836.0,448,226,26,11,36,9166800.0
Christian Wood,Mavericks,Forward,6-9,214,USA,1995-09-27T00:00:00,6,Undrafted,222,5246.0,3156,1621,299,137,190,13666667.0
Robert Woodard II,Spurs,Forward,6-6,235,USA,1999-09-22T00:00:00,2,40,25,88.0,27,27,5,1,4,1517981.0
Delon Wright,Wizards,Guard,6-5,185,USA,1992-04-26T00:00:00,7,20,411,8577.0,2952,1318,1246,474,148,8526316.0
Moses Wright,Mavericks,Forward,6-8,226,USA,1998-12-23T00:00:00,1,Undrafted,4,15.0,5,3,2,0,1,
McKinley Wright IV,Mavericks,Guard,5-11,192,USA,1998-10-25T00:00:00,1,Undrafted,5,19.0,5,0,3,0,0,
Gabe York,Pacers,Guard,6-3,190,USA,1993-08-02T00:00:00,2,Undrafted,2,21.0,8,2,4,2,1,
Thaddeus Young,Raptors,Forward,6-8,235,USA,1988-06-21T00:00:00,15,12,1085,31778.0,13848,6345,2003,1535,448,14190000.0
Trae Young,Hawks,Guard,6-1,164,USA,1998-09-19T00:00:00,4,5,280,9400.0,7076,1085,2544,262,42,8326471.0
Omer Yurtseven,Heat,Center,6-11,275,Turkey,1998-06-19T00:00:00,1,Undrafted,56,706.0,299,294,49,17,20,1489065.0
Ivica Zubac,Clippers,Center,7-0,240,Croatia,1997-03-18T00:00:00,6,32,360,6844.0,3001,2350,410,112,304,7518518.0
